rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9760.827812	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9777.811120	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9554.053226	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9618.532485	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9382.792596	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9336.521506	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141508
9336.521506	0.037527	0.000000	1.350000	0.000030	1.424946	934.140015	3.141508
9128.995683	0.037527	0.000000	1.350000	0.000031	1.424946	934.140015	3.141506
9038.715136	0.036702	0.000000	1.350000	0.000031	1.426596	934.140015	3.141505
9038.715136	0.037524	0.000000	1.350000	0.000031	1.424952	934.140015	3.141505
9017.758246	0.036997	0.000000	1.350000	0.000031	1.426006	934.140015	3.141505
9121.501707	0.036997	0.000000	1.350000	0.000031	1.426006	934.140015	3.141506
9275.246332	0.038330	0.000000	1.350000	0.000030	1.423340	934.140015	3.141507
9250.487929	0.037494	0.000000	1.350000	0.000030	1.425012	934.140015	3.141507
9222.078816	0.035999	0.000000	1.350000	0.000030	1.428003	934.140015	3.141507
9221.182781	0.037383	0.000000	1.350000	0.000031	1.425233	934.140015	3.141507
9139.097271	0.037500	0.000000	1.350000	0.000031	1.425000	934.140015	3.141506
8927.358753	0.037500	0.000000	1.350000	0.000032	1.425000	934.140015	3.141504
8964.675808	0.038114	0.000000	1.350000	0.000031	1.423772	934.140015	3.141505
8964.675808	0.038114	0.000000	1.350000	0.000031	1.423772	934.140015	3.141505
9066.970232	0.038207	0.000000	1.350000	0.000031	1.423587	934.140015	3.141505
9066.970232	0.038873	0.000000	1.350000	0.000031	1.422255	934.140015	3.141505
8903.000689	0.037280	0.000000	1.350000	0.000032	1.425441	934.140015	3.141504
8903.000689	0.037280	0.000000	1.350000	0.000032	1.425441	934.140015	3.141504
8903.000689	0.037280	0.000000	1.350000	0.000032	1.425441	934.140015	3.141504
9015.153322	0.037495	0.000000	1.350000	0.000031	1.425009	934.140015	3.141505
8961.838347	0.037651	0.000000	1.350000	0.000031	1.424697	934.140015	3.141505
8907.107332	0.036435	0.000000	1.350000	0.000032	1.427130	934.140015	3.141504
8843.707662	0.039092	0.000000	1.350000	0.000032	1.421815	934.140015	3.141503
8843.707662	0.039124	0.000000	1.350000	0.000032	1.421753	934.140015	3.141503
8891.264552	0.036009	0.000000	1.350000	0.000032	1.427982	934.140015	3.141504
8851.346247	0.036329	0.000000	1.350000	0.000032	1.427341	934.140015	3.141504
8934.482466	0.040081	0.000000	1.350000	0.000031	1.419837	934.140015	3.141504
8906.983969	0.039041	0.000000	1.350000	0.000032	1.421917	934.140015	3.141504
8906.983969	0.039041	0.000000	1.350000	0.000032	1.421917	934.140015	3.141504
8790.816640	0.039598	0.000000	1.350000	0.000032	1.420804	934.140015	3.141503
8803.686784	0.039041	0.000000	1.350000	0.000032	1.421917	934.140015	3.141503
8803.686784	0.039041	0.000000	1.350000	0.000032	1.421917	934.140015	3.141503
8679.863816	0.039041	0.000000	1.350000	0.000032	1.421917	934.140015	3.141502
8599.917788	0.039529	0.000000	1.350000	0.000033	1.420941	934.140015	3.141501
8599.917788	0.039529	0.000000	1.350000	0.000033	1.420941	934.140015	3.141501
8446.543044	0.039916	0.000000	1.350000	0.000033	1.420168	934.140015	3.141499
8457.958884	0.039518	0.000000	1.350000	0.000033	1.420964	934.140015	3.141499
8457.958884	0.039518	0.000000	1.350000	0.000033	1.420964	934.140015	3.141499
8942.432159	0.039821	0.000000	1.350000	0.000031	1.420357	934.140015	3.141504
8942.432159	0.039821	0.000000	1.350000	0.000031	1.420357	934.140015	3.141504
8942.432159	0.039821	0.000000	1.350000	0.000031	1.420357	934.140015	3.141504
8880.267224	0.036154	0.000000	1.350000	0.000032	1.427692	934.140015	3.141504
8879.888900	0.035606	0.000000	1.350000	0.000032	1.428788	934.140015	3.141504
8716.864745	0.039154	0.000000	1.350000	0.000032	1.421692	934.140015	3.141502
8830.504775	0.038026	0.000000	1.350000	0.000032	1.423949	934.140015	3.141503
8789.638678	0.038026	0.000000	1.350000	0.000032	1.423949	934.140015	3.141503
8658.070789	0.039099	0.000000	1.350000	0.000032	1.421802	934.140015	3.141501
8481.741151	0.038162	0.000000	1.350000	0.000033	1.423676	934.140015	3.141499
8481.741151	0.038804	0.000000	1.350000	0.000033	1.422392	934.140015	3.141499
8481.741151	0.038804	0.000000	1.350000	0.000033	1.422392	934.140015	3.141499
8481.741151	0.038804	0.000000	1.350000	0.000033	1.422392	934.140015	3.141499
8367.126517	0.038804	0.000000	1.350000	0.000034	1.422392	934.140015	3.141498
8367.126517	0.038804	0.000000	1.350000	0.000034	1.422392	934.140015	3.141498
8461.870372	0.038969	0.000000	1.350000	0.000033	1.422062	934.140015	3.141499
8461.870372	0.038969	0.000000	1.350000	0.000033	1.422062	934.140015	3.141499
8461.870372	0.038969	0.000000	1.350000	0.000033	1.422062	934.140015	3.141499
8389.961537	0.034837	0.000000	1.350000	0.000034	1.430326	934.140015	3.141499
8389.961537	0.037607	0.000000	1.350000	0.000034	1.424786	934.140015	3.141499
8318.004381	0.038323	0.000000	1.350000	0.000034	1.423354	934.140015	3.141498
8388.130082	0.041458	0.000000	1.350000	0.000034	1.417084	934.140015	3.141498
8386.045049	0.041458	0.000000	1.350000	0.000034	1.417084	934.140015	3.141498
8375.057972	0.041458	0.000000	1.350000	0.000034	1.417084	934.140015	3.141498
8359.006677	0.041458	0.000000	1.350000	0.000034	1.417084	934.140015	3.141498
8351.282714	0.044397	0.000000	1.350000	0.000034	1.411207	934.140015	3.141497
8318.863103	0.038494	0.000000	1.350000	0.000034	1.423013	934.140015	3.141498
8283.448033	0.043342	0.000000	1.350000	0.000034	1.413315	934.140015	3.141497
8089.040275	0.043342	0.000000	1.350000	0.000035	1.413315	934.140015	3.141494
8019.735500	0.043342	0.000000	1.350000	0.000035	1.413315	934.140015	3.141493
8019.735500	0.043342	0.000000	1.350000	0.000035	1.413315	934.140015	3.141493
8019.735500	0.043342	0.000000	1.350000	0.000035	1.413315	934.140015	3.141493
7979.594929	0.043342	0.000000	1.350000	0.000035	1.413315	934.140015	3.141493
8214.693616	0.037638	0.000000	1.350000	0.000034	1.424723	934.140015	3.141497
8162.369701	0.036248	0.000000	1.350000	0.000034	1.427504	934.140015	3.141496
8162.369701	0.037861	0.000000	1.350000	0.000034	1.424278	934.140015	3.141496
8132.249996	0.040542	0.000000	1.350000	0.000035	1.418917	934.140015	3.141495
8132.249996	0.040542	0.000000	1.350000	0.000035	1.418917	934.140015	3.141495
8117.547073	0.040542	0.000000	1.350000	0.000035	1.418917	934.140015	3.141495
7969.182963	0.039899	0.000000	1.350000	0.000035	1.420201	934.140015	3.141493
7969.182963	0.039899	0.000000	1.350000	0.000035	1.420201	934.140015	3.141493
7969.182963	0.039899	0.000000	1.350000	0.000035	1.420201	934.140015	3.141493
7957.337944	0.042475	0.000000	1.350000	0.000035	1.415049	934.140015	3.141493
7843.954341	0.039978	0.000000	1.350000	0.000036	1.420044	934.140015	3.141492
7843.954341	0.039978	0.000000	1.350000	0.000036	1.420044	934.140015	3.141492
7683.111903	0.039978	0.000000	1.350000	0.000037	1.420044	934.140015	3.141490
7582.874282	0.039863	0.000000	1.350000	0.000037	1.420274	934.140015	3.141488
7818.733728	0.043277	0.000000	1.350000	0.000036	1.413447	934.140015	3.141491
7736.638286	0.041830	0.000000	1.350000	0.000036	1.416341	934.140015	3.141490
7637.907984	0.042475	0.000000	1.350000	0.000037	1.415049	934.140015	3.141489
7637.907984	0.042475	0.000000	1.350000	0.000037	1.415049	934.140015	3.141489
7637.907984	0.042475	0.000000	1.350000	0.000037	1.415049	934.140015	3.141489
7637.907984	0.041751	0.000000	1.350000	0.000037	1.416499	934.140015	3.141489
