rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9755.272624	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9682.808282	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9710.777635	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9625.946924	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9557.946899	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9535.104194	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9535.104194	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9491.479718	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9496.338554	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141510
9487.931536	0.037929	0.000000	1.350000	0.000030	1.424141	934.140015	3.141509
9268.031546	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141507
9268.031546	0.037915	0.000000	1.350000	0.000030	1.424170	934.140015	3.141507
9268.031546	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141507
9182.602148	0.037828	0.000000	1.350000	0.000031	1.424345	934.140015	3.141507
9182.602148	0.037828	0.000000	1.350000	0.000031	1.424345	934.140015	3.141507
9182.602148	0.037828	0.000000	1.350000	0.000031	1.424345	934.140015	3.141507
9182.602148	0.038421	0.000000	1.350000	0.000031	1.423158	934.140015	3.141507
9182.602148	0.038235	0.000000	1.350000	0.000031	1.423530	934.140015	3.141507
9068.793924	0.036794	0.000000	1.350000	0.000031	1.426412	934.140015	3.141506
8894.203426	0.036734	0.000000	1.350000	0.000032	1.426531	934.140015	3.141504
8894.203426	0.037476	0.000000	1.350000	0.000032	1.425048	934.140015	3.141504
8894.203426	0.039668	0.000000	1.350000	0.000032	1.420664	934.140015	3.141504
8877.514158	0.036225	0.000000	1.350000	0.000032	1.427549	934.140015	3.141504
8894.203426	0.037476	0.000000	1.350000	0.000032	1.425048	934.140015	3.141504
8894.203426	0.037476	0.000000	1.350000	0.000032	1.425048	934.140015	3.141504
8894.203426	0.038411	0.000000	1.350000	0.000032	1.423177	934.140015	3.141504
8874.155545	0.038411	0.000000	1.350000	0.000032	1.423177	934.140015	3.141504
8874.155545	0.038411	0.000000	1.350000	0.000032	1.423177	934.140015	3.141504
8874.155545	0.038411	0.000000	1.350000	0.000032	1.423177	934.140015	3.141504
8894.203426	0.038602	0.000000	1.350000	0.000032	1.422796	934.140015	3.141504
8894.203426	0.038602	0.000000	1.350000	0.000032	1.422796	934.140015	3.141504
8812.478471	0.038602	0.000000	1.350000	0.000032	1.422796	934.140015	3.141503
8703.883695	0.038602	0.000000	1.350000	0.000032	1.422796	934.140015	3.141502
8514.903349	0.038602	0.000000	1.350000	0.000033	1.422796	934.140015	3.141500
8514.903349	0.038602	0.000000	1.350000	0.000033	1.422796	934.140015	3.141500
8514.903349	0.038602	0.000000	1.350000	0.000033	1.422796	934.140015	3.141500
8514.903349	0.038602	0.000000	1.350000	0.000033	1.422796	934.140015	3.141500
8408.212445	0.038602	0.000000	1.350000	0.000033	1.422796	934.140015	3.141499
8408.212445	0.038602	0.000000	1.350000	0.000033	1.422796	934.140015	3.141499
8638.193414	0.038602	0.000000	1.350000	0.000033	1.422796	934.140015	3.141501
8680.390429	0.038766	0.000000	1.350000	0.000032	1.422468	934.140015	3.141502
8599.076533	0.036022	0.000000	1.350000	0.000033	1.427956	934.140015	3.141501
8578.245802	0.039407	0.000000	1.350000	0.000033	1.421185	934.140015	3.141500
8541.304333	0.037096	0.000000	1.350000	0.000033	1.425809	934.140015	3.141500
8558.524802	0.039533	0.000000	1.350000	0.000033	1.420933	934.140015	3.141500
8558.524802	0.039533	0.000000	1.350000	0.000033	1.420933	934.140015	3.141500
8503.132578	0.039491	0.000000	1.350000	0.000033	1.421017	934.140015	3.141500
8558.524802	0.039533	0.000000	1.350000	0.000033	1.420933	934.140015	3.141500
8380.310293	0.035636	0.000000	1.350000	0.000034	1.428728	934.140015	3.141499
8380.310293	0.040011	0.000000	1.350000	0.000034	1.419979	934.140015	3.141498
8380.310293	0.040011	0.000000	1.350000	0.000034	1.419979	934.140015	3.141498
8380.310293	0.040011	0.000000	1.350000	0.000034	1.419979	934.140015	3.141498
8242.232468	0.037746	0.000000	1.350000	0.000034	1.424507	934.140015	3.141497
8225.520658	0.036770	0.000000	1.350000	0.000034	1.426459	934.140015	3.141497
8219.042146	0.037746	0.000000	1.350000	0.000034	1.424507	934.140015	3.141497
8349.266990	0.037746	0.000000	1.350000	0.000034	1.424507	934.140015	3.141498
8349.266990	0.037321	0.000000	1.350000	0.000034	1.425358	934.140015	3.141498
8281.279799	0.037105	0.000000	1.350000	0.000034	1.425790	934.140015	3.141497
8207.021530	0.037402	0.000000	1.350000	0.000034	1.425196	934.140015	3.141496
8209.311273	0.036344	0.000000	1.350000	0.000034	1.427313	934.140015	3.141497
8248.027309	0.035703	0.000000	1.350000	0.000034	1.428593	934.140015	3.141497
8141.096351	0.035703	0.000000	1.350000	0.000035	1.428593	934.140015	3.141496
8141.096351	0.035703	0.000000	1.350000	0.000035	1.428593	934.140015	3.141496
8248.027309	0.038195	0.000000	1.350000	0.000034	1.423610	934.140015	3.141497
8116.280632	0.036781	0.000000	1.350000	0.000035	1.426439	934.140015	3.141495
8370.306166	0.037344	0.000000	1.350000	0.000034	1.425312	934.140015	3.141498
8419.331464	0.038233	0.000000	1.350000	0.000033	1.423533	934.140015	3.141499
