rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9781.951792	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9740.957489	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9538.656344	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9538.656344	0.036653	0.000000	1.350000	0.000029	1.426694	934.140015	3.141510
9446.865415	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9411.073155	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9425.454983	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9396.151616	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9497.810872	0.037724	0.000000	1.350000	0.000030	1.424552	934.140015	3.141510
9368.433626	0.036635	0.000000	1.350000	0.000030	1.426730	934.140015	3.141508
9296.260124	0.036792	0.000000	1.350000	0.000030	1.426417	934.140015	3.141508
9361.211331	0.036682	0.000000	1.350000	0.000030	1.426637	934.140015	3.141508
9229.476164	0.037191	0.000000	1.350000	0.000030	1.425617	934.140015	3.141507
9229.476164	0.037191	0.000000	1.350000	0.000030	1.425617	934.140015	3.141507
9098.988018	0.037191	0.000000	1.350000	0.000031	1.425617	934.140015	3.141506
9157.101449	0.037669	0.000000	1.350000	0.000031	1.424662	934.140015	3.141506
9157.101449	0.037669	0.000000	1.350000	0.000031	1.424662	934.140015	3.141506
9157.101449	0.037669	0.000000	1.350000	0.000031	1.424662	934.140015	3.141506
9157.101449	0.037669	0.000000	1.350000	0.000031	1.424662	934.140015	3.141506
9058.166120	0.038411	0.000000	1.350000	0.000031	1.423178	934.140015	3.141505
9104.020323	0.035066	0.000000	1.350000	0.000031	1.429868	934.140015	3.141506
9121.402058	0.040057	0.000000	1.350000	0.000031	1.419887	934.140015	3.141506
9182.941019	0.036962	0.000000	1.350000	0.000031	1.426076	934.140015	3.141507
9078.715830	0.038819	0.000000	1.350000	0.000031	1.422363	934.140015	3.141506
9078.715830	0.038819	0.000000	1.350000	0.000031	1.422363	934.140015	3.141506
9078.715830	0.038819	0.000000	1.350000	0.000031	1.422363	934.140015	3.141506
9078.715830	0.038819	0.000000	1.350000	0.000031	1.422363	934.140015	3.141506
9067.679115	0.036446	0.000000	1.350000	0.000031	1.427107	934.140015	3.141506
9073.592075	0.036446	0.000000	1.350000	0.000031	1.427107	934.140015	3.141506
9073.592075	0.036446	0.000000	1.350000	0.000031	1.427107	934.140015	3.141506
9080.370669	0.038667	0.000000	1.350000	0.000031	1.422666	934.140015	3.141506
8949.022984	0.038682	0.000000	1.350000	0.000031	1.422636	934.140015	3.141504
8949.022984	0.037809	0.000000	1.350000	0.000031	1.424382	934.140015	3.141504
8776.058391	0.034811	0.000000	1.350000	0.000032	1.430378	934.140015	3.141503
8897.280533	0.037196	0.000000	1.350000	0.000032	1.425609	934.140015	3.141504
8897.280533	0.038057	0.000000	1.350000	0.000032	1.423886	934.140015	3.141504
8813.857949	0.039482	0.000000	1.350000	0.000032	1.421036	934.140015	3.141503
8813.857949	0.039482	0.000000	1.350000	0.000032	1.421036	934.140015	3.141503
8883.179917	0.036289	0.000000	1.350000	0.000032	1.427423	934.140015	3.141504
8883.179917	0.039480	0.000000	1.350000	0.000032	1.421040	934.140015	3.141504
8684.907258	0.035834	0.000000	1.350000	0.000032	1.428333	934.140015	3.141502
8684.907258	0.035834	0.000000	1.350000	0.000032	1.428333	934.140015	3.141502
8672.692358	0.036289	0.000000	1.350000	0.000032	1.427423	934.140015	3.141502
8721.290772	0.036289	0.000000	1.350000	0.000032	1.427423	934.140015	3.141502
9176.370602	0.038490	0.000000	1.350000	0.000031	1.423019	934.140015	3.141507
9091.473325	0.036289	0.000000	1.350000	0.000031	1.427423	934.140015	3.141506
9018.645835	0.036247	0.000000	1.350000	0.000031	1.427505	934.140015	3.141505
8911.564463	0.039229	0.000000	1.350000	0.000032	1.421541	934.140015	3.141504
9018.645835	0.036247	0.000000	1.350000	0.000031	1.427505	934.140015	3.141505
9018.645835	0.036247	0.000000	1.350000	0.000031	1.427505	934.140015	3.141505
9043.318421	0.039527	0.000000	1.350000	0.000031	1.420945	934.140015	3.141505
9011.159406	0.040438	0.000000	1.350000	0.000031	1.419123	934.140015	3.141505
8979.880907	0.040249	0.000000	1.350000	0.000031	1.419502	934.140015	3.141504
8949.068938	0.036815	0.000000	1.350000	0.000031	1.426371	934.140015	3.141505
8979.880907	0.040249	0.000000	1.350000	0.000031	1.419502	934.140015	3.141504
8917.697416	0.040551	0.000000	1.350000	0.000032	1.418897	934.140015	3.141504
8761.612493	0.038581	0.000000	1.350000	0.000032	1.422838	934.140015	3.141502
8646.684929	0.039571	0.000000	1.350000	0.000033	1.420858	934.140015	3.141501
8768.476566	0.036054	0.000000	1.350000	0.000032	1.427892	934.140015	3.141503
8916.212716	0.039589	0.000000	1.350000	0.000032	1.420822	934.140015	3.141504
8858.062126	0.036549	0.000000	1.350000	0.000032	1.426902	934.140015	3.141504
8866.324514	0.038211	0.000000	1.350000	0.000032	1.423578	934.140015	3.141504
8867.828641	0.038734	0.000000	1.350000	0.000032	1.422531	934.140015	3.141503
8756.245558	0.037395	0.000000	1.350000	0.000032	1.425209	934.140015	3.141503
8867.828641	0.038734	0.000000	1.350000	0.000032	1.422531	934.140015	3.141503
8876.632202	0.036064	0.000000	1.350000	0.000032	1.427871	934.140015	3.141504
8891.029378	0.038966	0.000000	1.350000	0.000032	1.422067	934.140015	3.141504
8876.632202	0.036064	0.000000	1.350000	0.000032	1.427871	934.140015	3.141504
8805.770911	0.035916	0.000000	1.350000	0.000032	1.428169	934.140015	3.141503
8740.236008	0.035501	0.000000	1.350000	0.000032	1.428998	934.140015	3.141503
8658.908376	0.035501	0.000000	1.350000	0.000032	1.428998	934.140015	3.141502
8658.908376	0.035501	0.000000	1.350000	0.000032	1.428998	934.140015	3.141502
8658.908376	0.039151	0.000000	1.350000	0.000032	1.421698	934.140015	3.141501
8658.908376	0.039151	0.000000	1.350000	0.000032	1.421698	934.140015	3.141501
8643.955068	0.038094	0.000000	1.350000	0.000033	1.423812	934.140015	3.141501
8643.955068	0.038288	0.000000	1.350000	0.000033	1.423424	934.140015	3.141501
8643.955068	0.037942	0.000000	1.350000	0.000033	1.424117	934.140015	3.141501
8643.955068	0.037942	0.000000	1.350000	0.000033	1.424117	934.140015	3.141501
8643.955068	0.037942	0.000000	1.350000	0.000033	1.424117	934.140015	3.141501
8512.341728	0.038995	0.000000	1.350000	0.000033	1.422009	934.140015	3.141500
8643.955068	0.040476	0.000000	1.350000	0.000033	1.419048	934.140015	3.141501
8643.955068	0.040476	0.000000	1.350000	0.000033	1.419048	934.140015	3.141501
8560.081940	0.035798	0.000000	1.350000	0.000033	1.428404	934.140015	3.141501
8414.008893	0.036521	0.000000	1.350000	0.000033	1.426959	934.140015	3.141499
8400.649938	0.036126	0.000000	1.350000	0.000033	1.427748	934.140015	3.141499
8400.649938	0.036126	0.000000	1.350000	0.000033	1.427748	934.140015	3.141499
8408.979907	0.036561	0.000000	1.350000	0.000033	1.426878	934.140015	3.141499
8408.979907	0.036561	0.000000	1.350000	0.000033	1.426878	934.140015	3.141499
8408.979907	0.036561	0.000000	1.350000	0.000033	1.426878	934.140015	3.141499
8408.979907	0.036864	0.000000	1.350000	0.000033	1.426271	934.140015	3.141499
8343.725242	0.039037	0.000000	1.350000	0.000034	1.421925	934.140015	3.141498
8386.145547	0.036521	0.000000	1.350000	0.000034	1.426959	934.140015	3.141499
8380.933891	0.039977	0.000000	1.350000	0.000034	1.420046	934.140015	3.141498
8380.933891	0.039977	0.000000	1.350000	0.000034	1.420046	934.140015	3.141498
8380.933891	0.040368	0.000000	1.350000	0.000034	1.419263	934.140015	3.141498
8201.157806	0.036521	0.000000	1.350000	0.000034	1.426959	934.140015	3.141497
8367.731245	0.039634	0.000000	1.350000	0.000034	1.420731	934.140015	3.141498
8321.037283	0.034178	0.000000	1.350000	0.000034	1.431644	934.140015	3.141498
8146.991879	0.035048	0.000000	1.350000	0.000035	1.429904	934.140015	3.141496
8290.422227	0.035565	0.000000	1.350000	0.000034	1.428869	934.140015	3.141498
8273.857192	0.039495	0.000000	1.350000	0.000034	1.421009	934.140015	3.141497
8088.517773	0.038617	0.000000	1.350000	0.000035	1.422766	934.140015	3.141495
8370.263374	0.039495	0.000000	1.350000	0.000034	1.421009	934.140015	3.141498
8346.859236	0.039495	0.000000	1.350000	0.000034	1.421009	934.140015	3.141498
8380.933891	0.040472	0.000000	1.350000	0.000034	1.419057	934.140015	3.141498
8346.859236	0.036097	0.000000	1.350000	0.000034	1.427805	934.140015	3.141498
8327.079240	0.036097	0.000000	1.350000	0.000034	1.427805	934.140015	3.141498
8166.864690	0.037197	0.000000	1.350000	0.000034	1.425606	934.140015	3.141496
8166.864690	0.036407	0.000000	1.350000	0.000034	1.427187	934.140015	3.141496
8166.864690	0.036407	0.000000	1.350000	0.000034	1.427187	934.140015	3.141496
8166.864690	0.036162	0.000000	1.350000	0.000034	1.427676	934.140015	3.141496
8166.864690	0.036162	0.000000	1.350000	0.000034	1.427676	934.140015	3.141496
8137.660648	0.037248	0.000000	1.350000	0.000035	1.425503	934.140015	3.141496
8285.960656	0.037248	0.000000	1.350000	0.000034	1.425503	934.140015	3.141497
8222.414451	0.033277	0.000000	1.350000	0.000034	1.433447	934.140015	3.141497
