r1 void vitreous
1.00000 1.41422 1.90919
1.01000 1.40761 1.90028
1.02000 1.40145 1.89196
1.03000 1.39559 1.88404
1.04000 1.38997 1.87647
1.05000 1.38458 1.86918
1.06000 1.37938 1.86217
1.07000 1.37436 1.85539
1.08000 1.36951 1.84884
1.09000 1.36481 1.84249
1.10000 1.36025 1.83633
1.11000 1.35582 1.83036
1.12000 1.35152 1.82455
1.13000 1.34734 1.81891
1.14000 1.34327 1.81342
1.15000 1.33931 1.80807
1.16000 1.33545 1.80286
1.17000 1.33169 1.79778
1.18000 1.32802 1.79283
1.19000 1.32445 1.78800
1.20000 1.32095 1.78329
1.21000 1.31754 1.77868
1.22000 1.31421 1.77418
1.23000 1.31095 1.76978
1.24000 1.30777 1.76548
1.25000 1.30465 1.76128
1.26000 1.30160 1.75717
1.27000 1.29862 1.75314
1.28000 1.29570 1.74920
1.29000 1.29284 1.74534
1.30000 1.29004 1.74156
1.31000 1.28730 1.73785
1.32000 1.28461 1.73422
1.33000 1.28197 1.73066
1.34000 1.27939 1.72717
1.35000 1.27685 1.72375
1.36000 1.27436 1.72039
1.37000 1.27192 1.71709
1.38000 1.26953 1.71386
1.39000 1.26717 1.71069
1.40000 1.26487 1.70757
1.41000 1.26260 1.70451
1.42000 1.26037 1.70150
1.43000 1.25818 1.69855
1.44000 1.25603 1.69564
1.45000 1.25392 1.69279
1.46000 1.25184 1.68999
1.47000 1.24980 1.68723
1.48000 1.24779 1.68452
1.49000 1.24582 1.68185
1.50000 1.24388 1.67923
1.51000 1.24197 1.67665
1.52000 1.24009 1.67412
1.53000 1.23824 1.67162
1.54000 1.23642 1.66916
1.55000 1.23462 1.66674
1.56000 1.23286 1.66436
1.57000 1.23112 1.66202
1.58000 1.22941 1.65971
1.59000 1.22773 1.65743
1.60000 1.22607 1.65519
1.61000 1.22443 1.65299
1.62000 1.22282 1.65081
1.63000 1.22124 1.64867
1.64000 1.21967 1.64656
1.65000 1.21813 1.64448
1.66000 1.21661 1.64243
1.67000 1.21512 1.64041
1.68000 1.21364 1.63841
1.69000 1.21218 1.63645
1.70000 1.21075 1.63451
1.71000 1.20933 1.63260
1.72000 1.20793 1.63071
1.73000 1.20656 1.62885
1.74000 1.20520 1.62702
1.75000 1.20386 1.62521
1.76000 1.20253 1.62342
1.77000 1.20123 1.62166
1.78000 1.19994 1.61992
1.79000 1.19867 1.61820
1.80000 1.19741 1.61651
1.81000 1.19617 1.61483
1.82000 1.19495 1.61318
1.83000 1.19374 1.61155
1.84000 1.19255 1.60994
1.85000 1.19137 1.60835
1.86000 1.19021 1.60678
1.87000 1.18906 1.60523
1.88000 1.18792 1.60370
1.89000 1.18680 1.60218
1.90000 1.18570 1.60069
1.91000 1.18460 1.59921
1.92000 1.18352 1.59775
1.93000 1.18245 1.59631
1.94000 1.18139 1.59488
1.95000 1.18035 1.59347
1.96000 1.17932 1.59208
1.97000 1.17830 1.59071
1.98000 1.17729 1.58934
1.99000 1.17630 1.58800
2.00000 1.17531 1.58667
2.01000 1.17434 1.58536
2.02000 1.17337 1.58406
2.03000 1.17242 1.58277
2.04000 1.17148 1.58150
2.05000 1.17055 1.58024
2.06000 1.16963 1.57900
2.07000 1.16872 1.57777
2.08000 1.16782 1.57655
2.09000 1.16692 1.57535
2.10000 1.16604 1.57416
2.11000 1.16517 1.57298
2.12000 1.16431 1.57181
2.13000 1.16345 1.57066
2.14000 1.16261 1.56952
2.15000 1.16177 1.56839
2.16000 1.16094 1.56727
2.17000 1.16012 1.56617
2.18000 1.15931 1.56507
2.19000 1.15851 1.56399
2.20000 1.15772 1.56292
2.21000 1.15693 1.56185
2.22000 1.15615 1.56080
2.23000 1.15538 1.55976
2.24000 1.15462 1.55873
2.25000 1.15386 1.55771
2.26000 1.15311 1.55670
2.27000 1.15237 1.55570
2.28000 1.15164 1.55471
2.29000 1.15091 1.55373
2.30000 1.15019 1.55276
2.31000 1.14948 1.55180
2.32000 1.14877 1.55085
2.33000 1.14808 1.54990
2.34000 1.14738 1.54897
2.35000 1.14670 1.54804
2.36000 1.14602 1.54712
2.37000 1.14534 1.54622
2.38000 1.14468 1.54531
2.39000 1.14402 1.54442
2.40000 1.14336 1.54354
2.41000 1.14271 1.54266
2.42000 1.14207 1.54180
2.43000 1.14143 1.54094
2.44000 1.14080 1.54008
2.45000 1.14018 1.53924
2.46000 1.13956 1.53840
2.47000 1.13894 1.53757
2.48000 1.13833 1.53675
2.49000 1.13773 1.53593
2.50000 1.13713 1.53513
2.51000 1.13654 1.53433
2.52000 1.13595 1.53353
2.53000 1.13537 1.53274
2.54000 1.13479 1.53196
2.55000 1.13422 1.53119
2.56000 1.13365 1.53042
2.57000 1.13308 1.52966
2.58000 1.13253 1.52891
2.59000 1.13197 1.52816
2.60000 1.13142 1.52742
2.61000 1.13088 1.52669
2.62000 1.13034 1.52596
2.63000 1.12980 1.52523
2.64000 1.12927 1.52452
2.65000 1.12874 1.52381
2.66000 1.12822 1.52310
2.67000 1.12770 1.52240
2.68000 1.12719 1.52171
2.69000 1.12668 1.52102
2.70000 1.12617 1.52034
2.71000 1.12567 1.51966
2.72000 1.12517 1.51899
2.73000 1.12468 1.51832
2.74000 1.12419 1.51766
2.75000 1.12371 1.51700
2.76000 1.12322 1.51635
